ITEM_20150317_000001	Empty_helmet
ITEM_20150317_000066	Algunos dicen que esta arma libera el rencor que las plantas tienen contra las bestias.
ITEM_20150317_000067	Falchion de Oro
ITEM_20150317_000068	Posiblemente debido a la correlación de oro con la fortuna, el Falchion de Oro otorga a su portador con la buena suerte durante la batalla. Por supuesto, perjudica gravemente a sus enemigos.
ITEM_20150317_000069	Falchion de Acero
ITEM_20150317_000070	El Falchion de acero es una buena opción para los que persiguen la precisión en su manejo con la espada. 
ITEM_20150317_000071	Falchion de Plata
ITEM_20150317_000072	Su ligereza y robustez permite el espadachín desatar todo su potencial durante un ataque. 
ITEM_20150317_000073	Mandrapick
ITEM_20150317_000074	Se dice que esta espada puede despejar la mente de su portador con su esencia de Mandragora.
ITEM_20150317_000075	Hoja de Mago
ITEM_20150317_000076	Nunca debes ridiculizar a un mago por usar una espada, especialmente si esa espada es una Hoja de Mago. 
ITEM_20150317_000077	Espada Química
ITEM_20150317_000078	Esta espada está hecha de una receta desarrollada por un alquimista de la familia Winterspoon, afirmaba que podía hacer una mejor espada que un herrero. 
ITEM_20150317_000079	Austas
ITEM_20150317_000080	Esta espada es digna de su elevado precio. Sin embargo, los comerciantes prefieren que vuelvan a comprar otras armas antes que continuar usándo esta durante mucho tiempo. 
ITEM_20150317_000081	Sable Miskas
ITEM_20150317_000082	Esta arma hará que tu habilidad con la espada sea mas rapida. 
ITEM_20150317_000083	Espada Imperni
ITEM_20150317_000084	Los veteranos a menudo relatan la emoción que experimentarón al avanzar desde principiante a primera con esta espada. 
ITEM_20150317_000085	Gritas
ITEM_20150317_000086	Una espada usada por aventureros valientes. Irónicamente, se encuentra a menudo en los monstruos fuertes. La persona que obtiene esta espada, sin saberlo esta tomando venganza de su anterior propietario. 
ITEM_20150317_000087	Spatha
ITEM_20150317_000088	Una versión mejorada de la Gladius hecha mediante la ampliación de la longitud de su hoja.
ITEM_20150317_000089	Falchion de Aras
ITEM_20150317_000090	Esta arma te da la oportunidad de experimentar las capacidades de un Falchion. 
ITEM_20150317_000091	Espada de Herrero
ITEM_20150317_000092	- 2% de inflingir 600% de daño adicional
ITEM_20150317_000093	Esta espada de vez en cuando brilla con la artesanía de su creador.
ITEM_20150317_000094	Espada Klavis
ITEM_20150317_000095	A pesar de su calidad, se vende relativamente bien. 
ITEM_20150317_000096	Espada Dio
ITEM_20150317_000097	Espada Thresh
ITEM_20150317_000098	Espada Sestas
ITEM_20150317_000099	Espada Dratt
ITEM_20150317_000100	Espada Aston
ITEM_20150317_000101	Espada Devi
ITEM_20150317_000102	Espada Prima
ITEM_20150317_000103	Espada de la Trinidad
ITEM_20150317_000104	Si no está satisfecho con ningún tipo de Falchion, esta es una alternativa. Sin embargo, tendrás que asumir el coste extra para su elaboración. 
ITEM_20150317_000105	Durandal
ITEM_20150317_000106	Muchos aventureros nombran su mejor espada en pos de esta arma. Este era el nombre de la espada empuñada por un antiguo guerrero elegido por una diosa. 
ITEM_20150317_000107	Velniup
ITEM_20150317_000108	La gente va tan lejos como para decir que esta arma es excesivamente cruel. 
ITEM_20150317_000109	Fortis
ITEM_20150317_000110	Aunque impopular durante el Gran Cataclismo Silvano, el resurgimiento de monstruos fuertemente blindados está demostrando su valor.
ITEM_20150317_000111	Cuchilla Chapparición
ITEM_20150317_000112	De acuerdo con una teoría, esta espada también se utiliza en los conflictos con los demonios. 
ITEM_20150317_000113	Cuchilla de Tejedora Letal
ITEM_20150317_000114	Uno se convierte en el portador de la muerte manejando esta cuchilla.
ITEM_20150317_000115	Espada Chapparición
ITEM_20150317_000116	Esto sirve como evidencia indirecta de los conflictos entre los demonios.
ITEM_20150317_000117	Espada Bendras
ITEM_20150317_000118	Una espada que lleva el poder de una diosa que herio a muchos demonios en el pasado. 
ITEM_20150317_000119	Illizia
ITEM_20150317_000120	Esta cuchilla amenaza gravemente tanto la vida de su enemigo como las finanzas de los propietarios. Por supuesto, la mayoría de los espadachines ignoran el último efecto. 
ITEM_20150317_000121	Fijado para borrar
ITEM_20150317_000122	Espada de 2 manos [Corte]
ITEM_20150317_000123	Espada Bastarda de Dunkel
ITEM_20150317_000124	Algunos maestros artesanos y soldados llaman a esto un 'estilo mezclado espada de dos manos'. Dicen que esto los justifica. 
ITEM_20150317_000125	Flamberge
ITEM_20150317_000126	Si eres un experto en armas a dos manos, el borde en forma de onda puede causar un daño masivo. 
ITEM_20150317_000127	Nodachi
ITEM_20150317_000128	Un Nodachi con una longitud 'justa' puede amplificar su poder recorta y domina el espacio entre el portador y su enemigo. 
ITEM_20150317_000129	Claymore
ITEM_20150317_000130	Los Claymore de este reino se hacen con un énfasis en el peso y el poder.
ITEM_20150317_000131	Espada Colosal
ITEM_20150317_000132	La hoja en forma de abanico inusual ofrece un {nl}potencial que amplifica su potencia y versatilidad para ser adaptada a muchas técnicas. 
ITEM_20150317_000133	Espada Centelleante
ITEM_20150317_000134	Frecuentemente usada por soldados de altos cargos. 
ITEM_20150317_000135	Quaddara
ITEM_20150317_000136	Contrariamente a su apariencia, esta es un arma de doble filo, utilizada frecuentemente por los espadachínes siguiendo su practicidad. 
ITEM_20150317_000137	Claymore Ligero
ITEM_20150317_000138	La estructura de esta espada permite a sus usuarios realizar un ataque punzante. 
ITEM_20150317_000139	Espada Colosal Vulgar
ITEM_20150317_000140	Ilwoon
ITEM_20150317_000141	Los grandes gobernantes llevaron esta espada en sus primeros días. 
ITEM_20150317_000142	Espada Bastarda de Prácticas
ITEM_20150317_000143	Espada Bastarda
ITEM_20150317_000144	Flamberge Pesado
ITEM_20150317_000145	Nodachi Pesado
ITEM_20150317_000146	Claymore Pesado
ITEM_20150317_000147	Nodachi de Dunkel
ITEM_20150317_000148	Quaddara de Dunkel
ITEM_20150317_000149	Flamberge de Dunkel
ITEM_20150317_000150	Claymore de Dunkel
ITEM_20150317_000151	Mandoble
ITEM_20150317_000152	Katzbalger
ITEM_20150317_000153	Dress Sword
ITEM_20150317_000154	Zweihander
ITEM_20150317_000155	Espada del ejecutor
ITEM_20150317_000156	Espada de dos manos Lumai
ITEM_20150317_000157	Cuchillo Exterminador
ITEM_20150317_000158	Potentia
ITEM_20150317_000159	Una gran alternativa para aquellos insatisfechos con un Flamberge regular. 
ITEM_20150317_000160	Flamberge Temsus
ITEM_20150317_000161	Una espada con gran capacidad de mejora que se complementa con el poder innato del portador. Prueba su potencial por ti mismo. 
ITEM_20150317_000162	Espada Colosal Didel
ITEM_20150317_000163	Esta espada es para aquellos que buscan más peso, más potencia y mayor alcance en sus cortes. 
ITEM_20150317_000164	Collecture
ITEM_20150317_000165	Aunque popular en las batallas de hoy, esta arma se consideró un elemento decorativo o de colección antes del Gran Cataclismo Silvano.
ITEM_20150317_000166	Mandoble Hogma
ITEM_20150317_000167	Cómo la Hogmas han obtenido o elaborado esta arma no es importante. Estamos más preocupados con la elaboración y usandolo nosotros mismos.
ITEM_20150317_000168	Espada Bastarda Química
ITEM_20150317_000169	Como consecuencia del Gran Cataclismo Silvano, la familia Witherspoon dio a conocer la receta de elaboración para este arma a todos los alquimistas.
ITEM_20150317_000170	Primaluce
ITEM_20150317_000171	Los Espadachines que buscan el poder bruto en un arma con frecuencia eligen esta espada como su primera espada mágica.
ITEM_20150317_000172	Kindzal
ITEM_20150317_000173	Aquellos que gustan de mejorar sus armas crean esta espada para su uso propio. 
ITEM_20150317_000174	Espada de dos manos Imperni
ITEM_20150317_000175	Si has obtenido esta espada a través del mercado negro, es una clara evidencia de que has obtenido un cierto nivel de fiabilidad.
ITEM_20150317_000176	Prieblanda
ITEM_20150317_000177	Esta espada comparte el mismo creador que la espada 'Primaluce'.
ITEM_20150317_000178	Lapis Katzbalger
ITEM_20150317_000179	La mejora de la Katzbalger se ha desarrollado hace menos de 100 años. Por lo tanto la elaboración de la receta para esta arma no está relacionada con Ruklys.
ITEM_20150317_000180	Espada de dos manos de Herrero
ITEM_20150317_000181	Desde el Medzio Diena, menos personas se han preocupado por la inestabilidad de las armas mágicas.
ITEM_20150317_000182	Espada de dos manos Klavis
ITEM_20150317_000183	Esta espada puede ser una extensión de confianza en ambas manos.
ITEM_20150317_000184	Espada de dos manos Thresh
ITEM_20150317_000185	Espada de dos manos Sestas
ITEM_20150317_000186	Espada de dos manos Dratt
ITEM_20150317_000187	Espada de dos manos Aston
ITEM_20150317_000188	Espada de dos manos Devi
ITEM_20150317_000189	Espada de dos manos Prima
ITEM_20150317_000190	Flamini
ITEM_20150317_000191	Una buena espada que ha sido considerada por mucho tiempo como una necesidad para enfrentarse a los demonios.
ITEM_20150317_000192	Asesina de Magos
ITEM_20150317_000193	Los magos novatos suelen pagarlo por no alejarse de esta arma en particular. Sin embargo, un mago experimentado sabe alejarse de su poder invisible.
ITEM_20150317_000194	Espada de 2 manos [Golpe]
ITEM_20150317_000195	Como una daga voladora lanzada en las mas oscuras horas de la noche, Naktis inflige un golpe imprevisto a su objetivo. 
ITEM_20150317_000196	Luciduce
ITEM_20150317_000197	Aunque algunas personas rechazan esta arma como un 'Hacha para cortar árboles', sus usuarios reales le dirán que en el Gran Cataclismo Silvano habría dado lugar a mucha mas pérdidas sin ella.
ITEM_20150317_000198	Cielo e Infierno
ITEM_20150317_000199	Hay un dicho que afirma que 'el ataque es la mejor defensa.' Demuéstralo con este arma.
ITEM_20150317_000200	Diente de Tejedora Letal
ITEM_20150317_000201	Espada de dos manos Chapparición
ITEM_20150317_000202	Espada de dos manos Chapparición
ITEM_20150317_000203	El gran poder a veces se puede encontrar en lo intangible. A veces, el no tener volumen puede ser lo más pesado.
ITEM_20150317_000204	Nulis
ITEM_20150317_000205	Presta gran poder contra los seres que no pertenecen al reino de la noche y el día.
ITEM_20150317_000206	Gravedad
ITEM_20150317_000207	La gravedad no puede ser evitada por nada. Pero si uno se adapta a ella, nadie puede subestimar su poder.
ITEM_20150317_000208	Vara Corta Vulgar
ITEM_20150317_000209	Vara [Golpe]
ITEM_20150317_000210	Una vara que todos los estudiantes de magia usan.
ITEM_20150317_000211	Vara Corta
ITEM_20150317_000212	Los magos que se gradúan de su aprendizaje a menudo cambian a esta arma. 
ITEM_20150317_000213	Vara Larga Deficiente
ITEM_20150317_000214	Las decoraciones que se encuentran en el equipo de un mago se añaden por su función, no sólo por la apariencia.
ITEM_20150317_000215	Cayado Deficiente de Vagabundo
ITEM_20150317_000216	Cuando una vara es laboriosamente tallada por un famoso mago, esta contiene poder místico.
ITEM_20150317_000217	Cayado
ITEM_20150317_000218	Puedes personalizar esta vara aún más si puedes proporcionar los materiales. 
ITEM_20150317_000219	Báculo
ITEM_20150317_000220	Las leyendas dicen que los magos malvados fueron los primeros en comenzar a usar esta arma.
ITEM_20150317_000221	Vara de Estaño
ITEM_20150317_000222	Fue un arma muy popular entre los ambiciosos jóvenes magos.
ITEM_20150317_000223	Vara de Búho
ITEM_20150317_000224	La decoración es muy popular entre los magos experimentados.
ITEM_20150317_000225	Vara de Runas
ITEM_20150317_000226	Las runas mágicas se utiliza para amplificar la potencia de esta vara.
ITEM_20150317_000227	Vara de Cristal
ITEM_20150317_000228	Se requiere un ajuste preciso de la joya en el eje para crear esta vara.
ITEM_20150317_000229	Vara Vulgar de Estaño
ITEM_20150317_000230	Vara Vulgar de Búho
ITEM_20150317_000231	Vara Corta de Soldado
ITEM_20150317_000232	Esta vara se le dio a los magos que se unieron al ejército. Aunque el procedimiento se ha suprimido desde el Gran Cataclismo Silvano, una gran parte de la población aun la tiene.
ITEM_20150317_000233	Vara Larga de Lider
ITEM_20150317_000234	La forma de esta vara fue popular en el pasado. A pesar de que es antigua, la vara aun es decente.
ITEM_20150317_000235	Cayado Vulgar de Vagabundo
ITEM_20150317_000236	Vara de Combate
ITEM_20150317_000237	Además de la ayuda para emitir la magia, esta vara también fue diseñada para el combate físico.
ITEM_20150317_000238	Vara Corta Pesada
ITEM_20150317_000239	Vara Larga
ITEM_20150317_000240	Vara Larga Pesada
ITEM_20150317_000241	Cayado de Vagabundo
ITEM_20150317_000242	Cayado Pesado
ITEM_20150317_000243	Báculo Pesado
ITEM_20150317_000244	Vara Pesada de Estaño
ITEM_20150317_000245	Báculo de Dunkel
ITEM_20150317_000246	Vara de Cristal Misteriosa
ITEM_20150317_000247	Vara Larga Misteriosa
ITEM_20150317_000248	Cayado de Dunkel de Vagabundo
ITEM_20150317_000249	Cayado de Dunkel
ITEM_20150317_000250	Vara Misteriosa de Estaño
ITEM_20150317_000251	Vara de Serpiente
ITEM_20150317_000252	Vara de Cambio
ITEM_20150317_000253	Vara de Nald
ITEM_20150317_000254	Vara Vieja
ITEM_20150317_000255	Vara de Meteorito
ITEM_20150317_000256	Vara de Anillo
ITEM_20150317_000257	Vara de Sirviente
ITEM_20150317_000258	Vara de Panto
ITEM_20150317_000259	Los magos han estado descubriendo nuevos hechos de los monstruos que salen del Gran Cataclismo Silvano y su acciones en diferentes situaciones.
ITEM_20150317_000260	Vara de Hielo
ITEM_20150317_000261	El rumor dice que cada vez que se vende la receta de elaboración de esta vara, parte del dinero se destina a el Maestre Criomante.
ITEM_20150317_000262	Vara de Fuego
ITEM_20150317_000263	Sólo el Maestre Piromante conoce el método de infundir el poder de la diosa Gabija en estas varas.
ITEM_20150317_000264	Vara Vasia
ITEM_20150317_000265	Aunque los sacerdotes frungen el ceño por la manipulación de espíritus durante su fabricación, los magos ignoran esta objeción.
ITEM_20150317_000266	Vara magica
ITEM_20150317_000267	Una vara simple para encantamientos magicos, creada fácilmente por los magos principiantes.
ITEM_20150317_000268	Vara Grynas
ITEM_20150317_000269	El aumento de los demonios después del Gran Cataclismo Silvano aumentó el precio de esta varilla que ya era bastante cara.
ITEM_20150317_000270	Vara Química
ITEM_20150317_000271	Muestra similutud en el nombre con otra arma, esta arma no tiene relación directa con la familia Winterspoon.
ITEM_20150317_000272	Vara Arqueada
ITEM_20150317_000273	Un arma que cumple el papel de un paso previo a la magia avanzada para los aspirantes a mago. Una vez que el mago logra su objetivo para el aprendizaje superior, esta arma es reemplazada por otra.
ITEM_20150317_000274	Vara Imperni
ITEM_20150317_000275	Es popular entre los magos que tratan de destacar.
ITEM_20150317_000276	Vara Larga de Aras
ITEM_20150317_000277	Se da a menudo como un pequeño regalo entre los magos gracias a su precio asequible.
ITEM_20150317_000278	Vara de Herrero
ITEM_20150317_000279	Este equipo es ciertamente extraño, independientemente de quien lo use.
ITEM_20150317_000280	Vara Klavis
ITEM_20150317_000281	Puede que seas el primer mago en la historia que ha usado esta arma.
ITEM_20150317_000282	Vara Dio
ITEM_20150317_000283	Vara Thresh
ITEM_20150317_000284	Vara Sestas
ITEM_20150317_000285	Vara Dratt
ITEM_20150317_000286	Vara Aston
ITEM_20150317_000287	Vara Devi
ITEM_20150317_000288	Vara Prima
ITEM_20150317_000289	Temere
ITEM_20150317_000290	El apodo de esta vara es "El bastón de la paciencia." Las leyendas dicen que Agailla Flurry, el mago más grande de la historia, ideó esta vara para formar a sus aprendices.
ITEM_20150317_000291	Ignición
ITEM_20150317_000292	Aunque el Maestre Piromante ha estado investigando la manera de mitigar los inconvenientes inestables de este bastón, no ha habido ningún desarrollo hasta la fecha.
ITEM_20150317_000293	Secretum
ITEM_20150317_000294	Un arma hecha únicamente para los magos. De este modo, los magos suelen ignorar los defectos de este baston.
ITEM_20150317_000295	Vara de Tejedora Letal
ITEM_20150317_000296	Una vara que contiene el poder de la Tejedora Letal.
ITEM_20150317_000297	Vara Chapparición
ITEM_20150317_000298	Zaima
ITEM_20150317_000299	Los rumores dicen que el alto precio de la receta de esta vara se debe a la insistencia del Maestre Criomante.
ITEM_20150317_000300	Epos
ITEM_20150317_000301	Una vara que fue creada hace mucho usando el mejor conocimiento magico del momento. Con este resultado es imposible añadirle magia a la vara, incluso con los conocimientos actuales de magia.
ITEM_20150317_000302	Vara Centelleante
ITEM_20150317_000303	Una estrella centelleante es visible siempre.
ITEM_20150317_000304	Empty_weapon_THBow
ITEM_20150317_000305	Arco Ligero Vulgar
ITEM_20150317_000306	Arco [Penetración]
ITEM_20150317_000307	Un arma simple que puede ser elaborado en casa.
ITEM_20150317_000308	Arco Ligero
ITEM_20150317_000309	Un arco ampliamente elaborado y utilizado por personas de todo el reino y sus territorios.
ITEM_20150317_000310	Arco Corto Deficiente
ITEM_20150317_000311	Es un arco para principiantes, aunque algunos arqueros más profesionales prefieren seguir usándolo.
ITEM_20150317_000312	Arco Largo Deficiente
ITEM_20150317_000313	Una pequeña distancia a veces puede ser el factor decisivo entre la vida y la muerte. Este arco es una buena opción si quieres un alcance más largo.
ITEM_20150317_000314	Arco Compuesto
ITEM_20150317_000315	Un arco con una mayor flexibilidad mediante la aplicación de diversos materiales.
ITEM_20150317_000316	Arco Puro
ITEM_20150317_000317	Simboliza la voluntad incondicional de un arquero inflexible.
ITEM_20150317_000318	Arco Rokas
ITEM_20150317_000319	Es de suponer que lleva el nombre del lugar de donde su inventor vino.
ITEM_20150317_000320	Gorithos
ITEM_20150317_000321	Un arco preferido por la caballería.
ITEM_20150317_000322	Gulail
ITEM_20150317_000323	Es el primer caso registrado de la aplicación de la magia en el proceso de elaboración del arco. Desde entonces se tiene su propio mercado.
ITEM_20150317_000324	Kaman
ITEM_20150317_000325	Un arco modificado para obtener más poder por los arqueros que confian en la fuerza de su brazo.
ITEM_20150317_000326	Arco Rokas Vulgar
ITEM_20150317_000327	Gorithos Vulgar
ITEM_20150317_000328	Arco Ligero de Soldado
ITEM_20150317_000329	Este arco ha sido creado para satisfacer las exigencias mínimas del ejército.
ITEM_20150317_000330	Arco Corto de Comandante
ITEM_20150317_000331	Muestra signos del esfuerzo puesto en tensar y destensar el arco todos los días. A pesar de su edad, el arco está en buenas condiciones.
ITEM_20150317_000332	Arco Largo Vulgar
ITEM_20150317_000333	Gendawa
ITEM_20150317_000334	Este arco es el mejor entre los creados sin necesidad de utilizar la magia en el proceso.
ITEM_20150317_000335	Arco Robusto Ligero
ITEM_20150317_000336	Arco Corto
ITEM_20150317_000337	Arco Corto Pesado
ITEM_20150317_000338	Arco Largo
ITEM_20150317_000339	Arco Compuesto Pesado
ITEM_20150317_000340	Arco Puro Pesado
ITEM_20150317_000341	Arco Rokas Pesado
ITEM_20150317_000342	Arco Puro de Dunkel
ITEM_20150317_000343	Kaman de Dunkel
ITEM_20150317_000344	Arco Corto de Dunkel
ITEM_20150317_000345	Arco Largo de Dunkel
ITEM_20150317_000346	Arco Compuesto de Dunkel
ITEM_20150317_000347	Arco Rokas de Dunkel
ITEM_20150317_000348	Arco Recurvado
ITEM_20150317_000349	Arco Seige
ITEM_20150317_000350	Arco de Tirador
ITEM_20150317_000351	Arco Calavera
ITEM_20150317_000352	Arco de Poleas de Madera
ITEM_20150317_000353	Arco de Combate
ITEM_20150317_000354	Arco de Picaro
ITEM_20150317_000355	Buscador
ITEM_20150317_000356	Este arco, popular entre los cazadores, se hizo aún más popular después del Gran Cataclismo Silvano.
ITEM_20150317_000357	Arco de Hierro
ITEM_20150317_000358	Este arco tiene una gran precisión y con frecuencia puede ocasionar daños imprevistos al enemigo.
ITEM_20150317_000359	Arco Halcón
ITEM_20150317_000360	Un arco puro hecho huesos al azar a veces no tiene sinergia con el oro.
ITEM_20150317_000361	Arco Químico
ITEM_20150317_000362	Se llama así por su efecto de aumentar la agilidad del usuario.
ITEM_20150317_000363	Arco de Caza
ITEM_20150317_000364	La aplicación de la Alquimia en la elaboración de arcos se mantuvo teorica hasta que las circunstancias hicieron una tendencia en una producción reciente.
ITEM_20150317_000365	Arco del Creador
ITEM_20150317_000366	En el pasado, sólo los cazadores ricos compraron este arco. Con los acontecimientos terribles de la historia reciente, sin embargo, cualquier persona puede permitirse el lujo de adquirirlo o elaborarlo.
ITEM_20150317_000367	Arco Salvaje
ITEM_20150317_000368	Debido al aumento de la demanda de los arcos de alta calidad desde el Gran Cataclismo Silvano, este arco se está creando con bastante frecuencia.
ITEM_20150317_000369	Arco de Serpiente
ITEM_20150317_000370	Este arco es una buena elección, independientemente de la propia fuerza muscular. Esto se debe a que si el usuario tiene brazos fuertes, se puede disparar con más potencia y si no lo hace, el arco lo compensa.
ITEM_20150317_000371	Arco Imperni
ITEM_20150317_000372	Como el nombre sugiere, este arco golpea con ataques venenosos.
ITEM_20150317_000373	Arco Lethena
ITEM_20150317_000374	Uno puede sentir la sensación de la caza de un gran monstruo con este arco gracias a su peso sólido.
ITEM_20150317_000375	Arco Firme
ITEM_20150317_000376	Difícil de fabricar, pero vale la pena.
ITEM_20150317_000377	Arco Corto de Aras
ITEM_20150317_000378	Por lo general, comprado por nuevos usuarios de arcos mágicos.
ITEM_20150317_000379	Arco de Polea
ITEM_20150317_000380	Arco de Herrero
ITEM_20150317_000381	Si no hay otros arcos disponibles para su compra, compra esto y espera algo mejor.
ITEM_20150317_000382	Arco Klavis
ITEM_20150317_000383	Aparte de ser un arco mágico, se considera generalmente que es mediocre, pero el usuario puede hacer uso excepcional de el.
ITEM_20150317_000384	Arco Dio
ITEM_20150317_000385	Arco Thresh
ITEM_20150317_000386	Arco Sestas
ITEM_20150317_000387	Arco Dratt
ITEM_20150317_000388	Arco Aston
ITEM_20150317_000389	Arco Devi
ITEM_20150317_000390	Arco Prima
ITEM_20150317_000391	Wildling Bane
ITEM_20150317_000392	Antes del Gran Cataclismo Silvano, los cazadores rara vez utilizaban este arco. Puede sonar extraño, pero el arco podría causar un daño excesivo a la presa.
ITEM_20150317_000393	Equalizador
ITEM_20150317_000394	Hay arqueros orgullosos que no quieren que ninguna variable afecte a su habilidad de tiro con arco fuera de sus propias capacidades. Este arco es una combinación perfecta para ellos.
ITEM_20150317_000395	Buscador de Corazones
ITEM_20150317_000396	Por una razón desconocida el hechizo ligado a este arco se ha convertido en una maldición tanto para el enemigo como para el usuario. En cualquier caso, el arco aun se utiliza por los arqueros para sus méritos.
ITEM_20150317_000397	Víbora
ITEM_20150317_000398	Este arco impregnado en veneno es tan tóxico que afecta a su usuario.
ITEM_20150317_000399	Arco de Tejedora Letal
ITEM_20150317_000400	Este arco envia a sus enemigos a una muerte segura.
ITEM_20150317_000401	Arco Chapparición
ITEM_20150317_000402	Los grabados dicen: 'endereza la espalda y amplia tus hombros; tira de la cuerda del arco y empuja el arco a medida que disparas'.
ITEM_20150317_000403	Blood Gain
ITEM_20150317_000404	Este arco fue creado por Lidia Schaffen. Frecuentemente ella utilizó este arco a lo largo de su vida, pero retuvo deliberadamente el método de elaboración de la Torre Astral y el Schaffenstar, dos entidades fundadas por Lydia.
ITEM_20150317_000405	Tirador de Tempestad
ITEM_20150317_000406	Un nuevo arco diseñado y desarrollado a través de un esfuerzo conjunto de los Maestres Creadores de Arcos. Se concibió con la esperanza de superar el Gran Cataclismo Silvano.
ITEM_20150317_000407	Empty_weapon_Bow
ITEM_20150317_000408	Ballesta Ligera Deficiente
ITEM_20150317_000409	Ballesta [Penetración]
ITEM_20150317_000410	Es útil, pero tener las manos libres es más importante que tener más poder de ataque.
ITEM_20150317_000411	Ballesta Deficiente
ITEM_20150317_000412	Las ballestas modernas utilizan muchos materiales diferentes, en su mayoría partes de monstruos.
ITEM_20150317_000413	Dokyu
ITEM_20150317_000414	Un arma facil de recargar.
ITEM_20150317_000415	Arco de Ballestero
ITEM_20150317_000416	El maestre Ballestero usa esta arma para enseñar a los aprendices.
ITEM_20150317_000417	Ballesta de Madera
ITEM_20150317_000418	Aunque la madera para crear objetos es difícil de encontrar debido al Gran Cataclismo Silvano, esta arma no es difícil de hacer.
ITEM_20150317_000419	Ballesta Sellada
ITEM_20150317_000420	Como los huesos de monstruos a veces estan maldecidos, un sello se adjunta a esta arma.
ITEM_20150317_000421	Catapulta
ITEM_20150317_000422	Aquí hay una larga historia de investigación sobre la adaptación de las armas de asedio para el uso de una sola persona. Esta arma es la culminación de esa investigación.
ITEM_20150317_000423	Cranequin
ITEM_20150317_000424	El mecanismo ayuda a los principiantes su uso, pero los usuarios experimentados se benefician de la potencia extra.
ITEM_20150317_000425	Ballesta Vulgar de Madera
ITEM_20150317_000426	Ballesta Vulgar Sellada
ITEM_20150317_000427	Ballesta de Tirador
ITEM_20150317_000428	Una potente ballesta, famosa por ser utilizada por el asesino Evoniphon.
ITEM_20150317_000429	Ballesta Ligera
ITEM_20150317_000430	Ballesta Robusta Ligera
ITEM_20150317_000431	Ballesta
ITEM_20150317_000432	Dokyu Pesada
ITEM_20150317_000433	Arco de Ballestero Pesado
